Term,Definition,L1_Category,L2_Subcategory,Resource_Type,Priority
Failback,Returning traffic and workload to primary site after recovery,CLOUD,Resilience,Practice,Core
Warm Standby,Secondary partially ready; balance of cost and recovery time vs cold,CLOUD,Resilience,Concept,Core
Serverless,Cloud computing model where provider manages infrastructure,CLOUD,Services,Technology,Core
Service Mesh,Infrastructure layer for managing service-to-service communication,CLOUD,Infrastructure,Technology,Advanced
Vertical Scaling,Increasing resources (CPU RAM) on existing instance (scale up),CLOUD,Resilience,Concept,Core
VNet (Virtual Network),Isolated network environment in cloud,CLOUD,Networking,Technology,Core
WAF (Web Application Firewall),Firewall protecting web applications from attacks,SECURITY,Compliance,Technology,Core
Zero Trust,Security model requiring verification for every access request,SECURITY,Access,Framework,Core
Bandwidth,Maximum data transfer capacity of a network connection,CLOUD,Networking,Metric,Core
CORS (Cross-Origin Resource Sharing),HTTP mechanism allowing cross-domain requests,CLOUD,Networking,Protocol,Core
Firewall,Network security system controlling incoming/outgoing traffic,SECURITY,Compliance,Technology,Core
GraphQL,Query language for APIs; client specifies exact data needed,SOFTWARE,Patterns,Technology,Core
HTTP/HTTPS,Hypertext Transfer Protocol; HTTPS adds TLS encryption,CLOUD,Networking,Protocol,Core
IP Address,Unique numerical identifier for devices on a network,CLOUD,Networking,Concept,Core
Latency,Time delay between request and response,CLOUD,Networking,Metric,Core
OSI Model,Seven-layer networking model for protocol stacks (Physical through Application),CLOUD,Networking,Framework,Core
Proxy,Intermediary server between client and destination server,CLOUD,Networking,Technology,Core
Rate Limiting,Controlling number of requests a client can make in a time period,SOFTWARE,Patterns,Pattern,Core
REST (Representational State Transfer),Architectural style for web APIs using HTTP methods,SOFTWARE,Architecture,Pattern,Core
Reverse Proxy,Server that forwards client requests to backend servers (nginx HAProxy),CLOUD,Networking,Technology,Core
Subnet,Logical subdivision of an IP network,CLOUD,Networking,Concept,Core
TCP (Transmission Control Protocol),Reliable ordered connection-oriented protocol,CLOUD,Networking,Protocol,Core
Throughput,Actual data transferred per unit of time,CLOUD,Networking,Metric,Core
UDP (User Datagram Protocol),Fast connectionless protocol; no delivery guarantee,CLOUD,Networking,Protocol,Core
WebSocket,Protocol for full-duplex persistent connections between client and server,CLOUD,Networking,Protocol,Core
ADF (Azure Data Factory),Cloud-based data integration and orchestration service,DATA,Platform,Technology,Core-N
ADLS Gen2 (Azure Data Lake Storage),Scalable data lake storage with hierarchical namespace,DATA,Platform,Technology,Core-N
Delta Lake,Open-source storage layer with ACID transactions for data lakes,DATA,Platform,Technology,Core
Delta Live Tables (DLT),Databricks declarative framework for building data pipelines,DATA,Platform,Technology,Advanced-N
Direct Lake,Power BI mode querying OneLake Delta tables directly (no import/DirectQuery),DATA,Platform,Technology,Core-N
Medallion Architecture,Bronze (raw) to Silver (cleaned) to Gold (curated) data layers,DATA,Architecture,Pattern,Core
OneLake,Microsoft Fabric unified data lake storage across workspaces,DATA,Platform,Technology,Core-N
Parquet,Columnar storage format optimized for analytics workloads,DATA,Platform,Technology,Core
Photon Engine,Databricks accelerated SQL engine for faster query performance,DATA,Platform,Technology,Advanced-N
Real-Time Intelligence,Fabric workload for streaming data processing,DATA,Platform,Technology,Core-N
Shortcuts,Fabric references to external data without copying,DATA,Platform,Technology,Advanced-N
Structured Streaming,Spark API for stream processing with exactly-once semantics,DATA,Processing,Technology,Core-N
Synapse Analytics,Analytics service combining data warehousing and big data,DATA,Platform,Technology,Core-N
Unity Catalog,Databricks unified governance layer for data assets,DATA,Platform,Technology,Core-N
Workspace,Databricks/Fabric environment for notebooks jobs clusters,DATA,Platform,Concept,Core
At-Least-Once Delivery,Message delivered one or more times; requires idempotent consumers,DATA,Processing,Concept,Core
Backpressure,Mechanism to slow producers when consumers can't keep up,DATA,Processing,Pattern,Advanced
Batch Processing,Processing data in scheduled batches (hourly daily),DATA,Processing,Practice,Core
CDC (Change Data Capture),Capturing incremental changes from source systems,DATA,Processing,Technology,Core
Data Contract,Agreement defining schema semantics and SLAs for data products,DATA,Quality,Concept,Core
Data Drift,Unexpected changes in data distribution or schema over time,DATA,Quality,Concept,Core
Data Fabric,Architecture pattern providing unified data access across environments,DATA,Architecture,Pattern,Advanced
Data Lake,Centralized repository storing raw data in native format,DATA,Architecture,Concept,Core
Data Lakehouse,Architecture combining data lake flexibility with warehouse structure,DATA,Architecture,Pattern,Core
Data Lineage,Tracking data flow from source to consumption,DATA,Quality,Practice,Core
Data Mesh,Decentralized data architecture with domain-oriented ownership,DATA,Architecture,Pattern,Advanced
Data Product,Self-contained reusable data asset with defined contract,DATA,Architecture,Concept,Core
Data Warehouse,Centralized repository for structured queryable data,DATA,Architecture,Concept,Core
DLQ (Dead Letter Queue),Queue for messages that fail processing; enables retry/investigation,DATA,Processing,Pattern,Core
ELT (Extract Load Transform),Load raw data first transform in destination,DATA,Processing,Practice,Core
ETL (Extract Transform Load),Transform data before loading to destination,DATA,Processing,Practice,Core
Exactly-Once Delivery,Message processed exactly once; requires coordination,DATA,Processing,Concept,Core
Full Refresh,Reloading all data in a pipeline run; opposite of incremental load,DATA,Processing,Practice,Core
Idempotency,Operation that produces same result regardless of execution count,DATA,Processing,Concept,Core
Incremental Processing,Processing only new/changed data since last run,DATA,Processing,Practice,Core
Lookup (Transformation),ETL step enriching rows by joining to reference or dimension table,DATA,Processing,Concept,Core
Lambda Architecture,Architecture combining batch and streaming processing,DATA,Architecture,Pattern,Advanced
Metadata,Data about data (schema lineage quality usage statistics),DATA,Quality,Concept,Core
Orchestration,Coordinating multiple data pipeline tasks (Airflow ADF Prefect),DATA,Processing,Practice,Core
Schema Evolution,Managing schema changes while maintaining compatibility,DATA,Architecture,Practice,Core
Schema-on-Read,Schema applied when reading data (flexible late binding),DATA,Architecture,Concept,Core
Schema-on-Write,Schema enforced when writing data (strict early binding),DATA,Architecture,Concept,Core
Star Schema,Data warehouse schema with central fact tables and dimension tables,DATA,Architecture,Pattern,Core
Streaming Processing,Real-time continuous data processing,DATA,Processing,Practice,Core
Staging (Data),Interim storage for data during ETL before loading to destination,DATA,Processing,Concept,Core
Watermarking,Tracking high-water mark for incremental data loads,DATA,Processing,Concept,Core
Upsert,Insert or update in one operation; merge new and existing records,DATA,Processing,Concept,Core
Backup and Restore,Copy and restore of data for recovery from failure or corruption,DATA,Processing,Practice,Core
PITR (Point-in-Time Recovery),Restore database or dataset to specific timestamp before failure,DATA,Processing,Concept,Core
Data Catalog,Inventory of data assets with metadata and discovery,DATA,Quality,Technology,Core
Data Freshness,Measure of how current data is (time since last update),DATA,Quality,Metric,Core
Data Observability,Monitoring data health quality and lineage across systems,DATA,Quality,Practice,Core
Data Profiling,Analyzing data to understand structure content and quality issues,DATA,Quality,Practice,Core
Data Quality,Measure of data accuracy completeness consistency timeliness,DATA,Quality,Concept,Core
Data Reliability Engineering,Practice of ensuring data systems meet quality and availability targets,DATA,Quality,Practice,Advanced
Data SLO (Service Level Objective),Targets for data freshness completeness accuracy,DATA,Quality,Metric,Core
Data Steward,Person responsible for data quality and governance within a domain,DATA,Quality,Role,Core
Data Validation,Checking data against rules constraints and expectations,DATA,Quality,Practice,Core
Golden Record,Single authoritative version of an entity across systems,DATA,Quality,Concept,Core
MDM (Master Data Management),Processes ensuring consistent accurate master data across systems,DATA,Quality,Practice,Core
Quarantine,Isolating bad/invalid data for review and remediation,DATA,Quality,Practice,Advanced
Data Corruption,Loss or damage to data integrity requiring detection and recovery,DATA,Quality,Concept,Core
Duplicate Detection,Identifying and handling duplicate records in data pipelines,DATA,Quality,Practice,Core
Null Handling,Strategy for missing unknown or inapplicable values in data,DATA,Quality,Concept,Core
ACID,Atomicity Consistency Isolation Durability (transaction properties),DATA,Architecture,Concept,Core
CLS (Column-Level Security),Restricting access to specific columns,SECURITY,Access,Technology,Advanced
Encryption at Rest,Protecting stored data through encryption,SECURITY,Encryption,Practice,Core
Encryption in Transit,Protecting data during transmission (TLS/SSL),SECURITY,Encryption,Practice,Core
IAM (Identity and Access Management),Framework for managing digital identities and access,SECURITY,Access,Framework,Core
Index,Database structure improving query performance,DATA,Platform,Concept,Core
MFA (Multi-Factor Authentication),Authentication requiring multiple verification methods,SECURITY,Access,Technology,Core
Partition Key,Field used to distribute data across partitions; affects throughput and hotspots,DATA,Architecture,Concept,Advanced
Partitioning,Dividing large tables into smaller manageable pieces,DATA,Architecture,Practice,Core
PII (Personally Identifiable Information),Data that can identify individuals,SECURITY,Compliance,Concept,Core
Query Optimization,Improving database query performance through execution plans,DATA,Platform,Practice,Core
RBAC (Role-Based Access Control),Access permissions based on user roles,SECURITY,Access,Pattern,Core
RLS (Row-Level Security),Restricting access to specific rows based on user context,SECURITY,Access,Technology,Core
Secrets Management,Secure storage and access control for credentials keys tokens,SECURITY,Access,Practice,Core
SSO (Single Sign-On),Authentication allowing access to multiple systems with one login,SECURITY,Access,Technology,Core
Transaction,Unit of work that must complete entirely or not at all,DATA,Processing,Concept,Core
API Versioning,Managing multiple API versions for backward compatibility,SOFTWARE,Patterns,Practice,Core
Bounded Context,Explicit boundary where domain model applies (DDD concept),SOFTWARE,Architecture,Concept,Advanced
Bulkhead Pattern,Isolating components to prevent cascading failures,SOFTWARE,Patterns,Pattern,Advanced
CQRS (Command Query Responsibility Segregation),Separating read and write operations,SOFTWARE,Patterns,Pattern,Advanced
DDD (Domain-Driven Design),Software design approach focusing on domain model,SOFTWARE,Architecture,Framework,Core
Design Pattern,Reusable solution to common software design problems,SOFTWARE,Patterns,Concept,Core
Event Sourcing,Storing state changes as sequence of events,SOFTWARE,Patterns,Pattern,Advanced
Hexagonal Architecture,Architecture isolating business logic from infrastructure,SOFTWARE,Architecture,Pattern,Advanced
Microservices,Architecture pattern with independently deployable services,SOFTWARE,Architecture,Pattern,Core
Monolith,Single deployable unit containing all application functionality,SOFTWARE,Architecture,Pattern,Core
Outbox Pattern,Reliable event publishing using database transactions,SOFTWARE,Patterns,Pattern,Advanced
Retry Pattern,Automatically retrying failed operations with backoff,SOFTWARE,Patterns,Pattern,Core
Saga Pattern,Managing distributed transactions across services using compensating actions,SOFTWARE,Patterns,Pattern,Advanced
SOLID Principles,Single responsibility open-closed Liskov interface segregation dependency inversion,SOFTWARE,Principles,Framework,Core
Array,Contiguous memory storing elements of same type; O(1) access by index,PROGRAMMING,Structures,Concept,Core
BFS (Breadth-First Search),Graph traversal exploring neighbors before children,PROGRAMMING,Algorithms,Concept,Core
Big O Notation,Describes algorithm time/space complexity as input grows,PROGRAMMING,Complexity,Concept,Core
Binary Search,Finding element in sorted array by halving search space; O(log n),PROGRAMMING,Algorithms,Concept,Core
Binary Tree,Tree where each node has at most two children,PROGRAMMING,Structures,Concept,Core
DFS (Depth-First Search),Graph traversal exploring as deep as possible before backtracking,PROGRAMMING,Algorithms,Concept,Core
Dynamic Programming,Solving problems by breaking into overlapping subproblems; memoization,PROGRAMMING,Algorithms,Concept,Core
Graph,Data structure with nodes (vertices) and edges; models relationships,PROGRAMMING,Structures,Concept,Core
Greedy Algorithm,Making locally optimal choices at each step,PROGRAMMING,Algorithms,Concept,Core
Hash Table/HashMap,Key-value store with O(1) average lookup using hash function,PROGRAMMING,Structures,Concept,Core
Heap,Tree-based structure where parent is greater/less than children; priority queue,PROGRAMMING,Structures,Concept,Core
Linked List,Linear structure where elements point to next; O(1) insert O(n) access,PROGRAMMING,Structures,Concept,Core
Memoization,Caching function results to avoid redundant computation,PROGRAMMING,Algorithms,Concept,Core
Queue,FIFO (First In First Out) data structure,PROGRAMMING,Structures,Concept,Core
Recursion,Function calling itself to solve smaller subproblems,PROGRAMMING,Algorithms,Concept,Core
Sliding Window,Technique for processing subarrays/substrings efficiently,PROGRAMMING,Algorithms,Concept,Core
Space Complexity,Memory usage of algorithm as function of input size,PROGRAMMING,Complexity,Metric,Core
Stack,LIFO (Last In First Out) data structure,PROGRAMMING,Structures,Concept,Core
Time Complexity,Execution time of algorithm as function of input size,PROGRAMMING,Complexity,Metric,Core
Tree,Hierarchical structure with root node and children; no cycles,PROGRAMMING,Structures,Concept,Core
Trie,Tree for storing strings; enables prefix search,PROGRAMMING,Structures,Concept,Advanced
Two Pointers,Technique using two indices to traverse array efficiently,PROGRAMMING,Algorithms,Concept,Core
Blue-Green Deployment,Deployment strategy with two identical environments,DEVOPS,Deployment,Pattern,Core
Canary Deployment,Gradual rollout to subset of users before full release,DEVOPS,Deployment,Pattern,Core
Configuration Drift,Unplanned divergence between infrastructure state and definition,DEVOPS,Reliability,Concept,Advanced
Feature Flag,Toggle enabling/disabling features without code deployment,DEVOPS,Deployment,Technology,Core
MTBF (Mean Time Between Failures),Average time between consecutive failures,DEVOPS,Reliability,Metric,Advanced
MTTD (Mean Time To Detection),Average time to detect a failure or incident,DEVOPS,Reliability,Metric,Advanced
MTTF (Mean Time To Failure),Average time until first failure,DEVOPS,Reliability,Metric,Advanced
MTTR (Mean Time To Recovery),Average time to recover from failure,DEVOPS,Reliability,Metric,Core
Observability,Ability to understand system state from external outputs (logs metrics traces),DEVOPS,Observability,Practice,Core
Platform Engineering,Practice of building internal developer platforms and tooling,DEVOPS,Automation,Practice,Advanced
Runbook,Documented procedures for routine operations and incident response,DEVOPS,Reliability,Process,Advanced
Shift Left,Moving testing security and quality earlier in development lifecycle,DEVOPS,Deployment,Practice,Core
Shift Right,Testing and monitoring in production environments,DEVOPS,Observability,Practice,Advanced
SRE (Site Reliability Engineering),Practice applying software engineering to operations problems,DEVOPS,Reliability,Practice,Core
Toil,Repetitive manual automatable work that scales with service growth,DEVOPS,Reliability,Concept,Advanced
CSPM (Cloud Security Posture Management),Continuous monitoring of cloud security configuration,SECURITY,Compliance,Technology,Advanced
CWPP (Cloud Workload Protection Platform),Security platform protecting cloud workloads,SECURITY,Compliance,Technology,Advanced
DAST (Dynamic Application Security Testing),Testing running applications for vulnerabilities,SECURITY,Testing,Practice,Core
Least Privilege,Granting minimum permissions necessary to perform a function,SECURITY,Access,Concept,Core
SAST (Static Application Security Testing),Analyzing source code for security vulnerabilities,SECURITY,Testing,Practice,Core
SBOM (Software Bill of Materials),Inventory of components and dependencies in software,SECURITY,Compliance,Concept,Advanced
SCA (Software Composition Analysis),Identifying vulnerabilities in open-source dependencies,SECURITY,Testing,Practice,Advanced
SIEM (Security Information and Event Management),Centralized security event monitoring,SECURITY,Compliance,Technology,Advanced
SOAR (Security Orchestration Automation and Response),Automating security operations,SECURITY,Compliance,Technology,Advanced
Supply Chain Security,Protecting software supply chain from vulnerabilities and attacks,SECURITY,Compliance,Practice,Core
Threat Modeling,Identifying potential security threats and mitigations,SECURITY,Testing,Practice,Core
A/B Testing (ML),Comparing two variants to determine which performs better,AI/ML,Evaluation,Practice,Advanced
Agentic AI,AI systems that can autonomously plan and execute multi-step tasks,AI/ML,GenAI,Concept,Advanced
AI Governance,Framework for managing AI systems responsibly and ethically,AI/ML,Operations,Framework,Advanced
Attention Mechanism,Neural network component focusing on relevant input parts,AI/ML,Models,Concept,Advanced
Bias (ML),Systematic error from assumptions; underfitting,AI/ML,Evaluation,Concept,Core
Classification,Predicting discrete categories (spam/not spam),AI/ML,Models,Concept,Core
CNN (Convolutional Neural Network),Neural network for image/spatial data processing,AI/ML,Models,Technology,Core
Confusion Matrix,Table showing true/false positives and negatives,AI/ML,Evaluation,Concept,Core
Cross-Validation,Evaluating model on different data subsets to assess generalization,AI/ML,Evaluation,Practice,Core
Deep Learning,Neural networks with multiple layers for complex pattern recognition,AI/ML,Models,Concept,Core
Embedding,Vector representation of data (text images) for ML models,AI/ML,Models,Concept,Core
Epoch,One complete pass through entire training dataset,AI/ML,Training,Concept,Advanced
Feature Engineering,Creating/selecting input variables to improve model performance,AI/ML,Training,Practice,Core
Feature Store,Centralized repository for ML features; enables reuse and consistency,AI/ML,Operations,Technology,Advanced
Gradient Descent,Optimization algorithm minimizing loss by following gradient,AI/ML,Training,Concept,Advanced
Grounding,Connecting AI responses to factual verifiable information,AI/ML,GenAI,Concept,Advanced
Hallucination,AI generating plausible but incorrect or fabricated information,AI/ML,GenAI,Concept,Core
Hyperparameter Tuning,Optimizing model configuration (learning rate layers etc.),AI/ML,Training,Practice,Advanced
Inference,Using trained model to make predictions on new data,AI/ML,Operations,Concept,Core
LLM (Large Language Model),AI model trained on large text datasets for natural language tasks,AI/ML,GenAI,Technology,Core
Loss Function,Measures difference between predicted and actual values,AI/ML,Training,Concept,Advanced
MLOps,Practices for deploying and maintaining ML models in production,AI/ML,Operations,Practice,Core
Model Drift,Degradation of model performance over time as data changes,AI/ML,Operations,Concept,Advanced
Model Fine-tuning,Adapting pre-trained models for specific tasks or domains,AI/ML,Training,Practice,Advanced
Model Registry,Versioned repository for ML models with metadata,AI/ML,Operations,Technology,Advanced
Neural Network,Computing system inspired by biological neurons; learns patterns,AI/ML,Models,Technology,Core
Overfitting,Model learns training data too well; poor generalization,AI/ML,Evaluation,Concept,Core
Precision,True positives / (True positives + False positives),AI/ML,Evaluation,Metric,Advanced
Prompt Engineering,Crafting effective prompts to get desired outputs from AI models,AI/ML,GenAI,Practice,Core
RAG (Retrieval Augmented Generation),AI pattern combining retrieval with generation for accurate responses,AI/ML,GenAI,Pattern,Core
Recall,True positives / (True positives + False negatives),AI/ML,Evaluation,Metric,Advanced
Regression,Predicting continuous values (price temperature),AI/ML,Models,Concept,Core
Supervised Learning,Training with labeled data (input-output pairs),AI/ML,Training,Concept,Core
Token,Basic unit of text processed by language models,AI/ML,GenAI,Concept,Core
Training,Process of teaching model using data to adjust weights,AI/ML,Training,Process,Core
Transformer,Neural network architecture using self-attention; basis for GPT BERT,AI/ML,Models,Technology,Core
Underfitting,Model too simple to capture underlying patterns,AI/ML,Evaluation,Concept,Advanced
Unsupervised Learning,Training with unlabeled data; finds patterns/clusters,AI/ML,Training,Concept,Core
Variance (ML),Sensitivity to training data fluctuations; overfitting,AI/ML,Evaluation,Concept,Advanced
A/B Testing (Product),Comparing product variants to measure impact on metrics,PM,Product,Practice,Core
CAC (Customer Acquisition Cost),Total cost to acquire a new customer,BUSINESS,Metrics,Metric,Advanced
Churn Rate,Percentage of customers who stop using product over time period,PM,Product,Metric,Core
Cohort Analysis,Analyzing behavior of user groups over time,PM,Product,Practice,Advanced
Customer Feedback Loop,Cycle of gathering feedback from users and acting on it to improve product,PM,Product,Concept,Core
Customer Journey,End-to-end experience of customer with product/company,PM,Product,Concept,Core
Discovery,Research phase to understand user problems and validate solutions,PM,Product,Practice,Advanced
Feature Prioritization,Deciding which features to build based on value/effort,PM,Product,Practice,Core
Go-to-Market (GTM),Strategy for launching product to target customers,PM,Product,Practice,Advanced
Jobs to Be Done (JTBD),Framework focusing on outcomes customers want to achieve,PM,Product,Framework,Advanced
LTV (Lifetime Value),Total revenue expected from a customer over relationship,BUSINESS,Metrics,Metric,Advanced
North Star Metric,Single metric that best captures core value delivered to customers,PM,Product,Metric,Advanced
NPS (Net Promoter Score),Customer loyalty metric based on likelihood to recommend,PM,Product,Metric,Core
PLG (Product-Led Growth),Growth strategy where product drives acquisition/retention,PM,Product,Practice,Advanced
Product Discovery,Research to understand problems before building solutions,PM,Product,Practice,Core
Product-Market Fit,When product satisfies strong market demand,PM,Product,Concept,Core
Product Vision,Aspirational description of what product aims to achieve long-term,PM,Product,Concept,Core
Time to Value (TTV),Time for customer to realize value from product,PM,Product,Metric,Advanced
User Research,Methods to understand user needs behaviors and motivations,PM,Product,Practice,Advanced
Value Proposition,Statement of benefits product provides to customers,PM,Product,Concept,Core
Build-Measure-Learn,Lean Startup loop: build MVP measure feedback learn and iterate,PM,Product,Framework,Core
Continuous Discovery,Ongoing customer insight collection feeding product decisions,PM,Product,Practice,Core
Hypothesis-Driven Development,Building and testing hypotheses rather than fixed requirements,PM,Product,Practice,Core
Opportunity Solution Tree,Visual framework linking outcomes to opportunities and solution ideas,PM,Product,Framework,Advanced
Outcome vs Output,Outcome is business result achieved; output is deliverable shipped,PM,Product,Concept,Core
Product Lifecycle,Stages from ideation through growth maturity and retirement,PM,Product,Concept,Core
Product Operations (ProdOps),Scaling product processes tools and data across teams,PM,Product,Practice,Advanced
Product Strategy,Long-term direction and choices for product to achieve business goals,PM,Product,Concept,Core
PRD (Product Req Document),Document specifying product features and requirements,PM,Product,Process,Core
RICE Scoring,Prioritization by Reach Impact Confidence and Effort; score = (R×I×C)/E,PM,Product,Framework,Core
ADKAR Model,Change management model (Awareness Desire Knowledge Ability Reinforcement),PM,Change,Framework,Advanced
Backlog Refinement,Process of reviewing and updating product backlog,PM,Agile,Process,Core
Burndown Chart,Visual representation of work remaining over time,PM,Agile,Concept,Core
Change Control Board (CCB),Group responsible for approving project changes,PM,Project,Process,Advanced
Critical Path,Sequence of dependent tasks determining minimum project duration,PM,Project,Concept,Advanced
Definition of Done (DoD),Shared understanding of when work is complete,PM,Agile,Concept,Core
Definition of Ready (DoR),Criteria a story must meet before sprint planning,PM,Agile,Concept,Advanced
Dependency,Relationship where one task must complete before another starts,PM,Project,Concept,Core
EVM (Earned Value Management),Project performance measurement technique,PM,Project,Framework,Advanced
Executive Sponsor,Senior executive who champions and supports the project,PM,Stakeholder,Role,Advanced
Gantt Chart,Visual timeline showing project tasks durations and dependencies,PM,Project,Concept,Core
Kotter's 8-Step Process,Change management framework for organizational transformation,PM,Change,Framework,Advanced
Milestone,Significant event or achievement in project timeline,PM,Project,Concept,Core
MoSCoW,Prioritization method (Must have Should have Could have Won't have),PM,Project,Framework,Core
MVP (Minimum Viable Product),Simplest product version that delivers core value,PM,Product,Concept,Core
OKRs (Objectives and Key Results),Goal-setting framework linking objectives to measurable results,PM,Project,Framework,Core
PMO (Project Management Office),Organizational unit providing PM standards and support,PM,Project,Concept,Core
Portfolio Management,Managing collection of projects to achieve strategic objectives,PM,Project,Practice,Advanced
Power/Interest Grid,Matrix categorizing stakeholders by power and interest levels,PM,Stakeholder,Framework,Advanced
Program Management,Coordinated management of related projects to deliver benefits,PM,Project,Practice,Core
Project Charter,Document authorizing project and defining objectives,PM,Project,Process,Core
RACI Matrix,Responsibility assignment (Responsible Accountable Consulted Informed),PM,Project,Framework,Core
Risk Register,Document tracking identified risks and responses,PM,Project,Process,Core
Roadmap,High-level strategic view of project goals milestones timeline,PM,Project,Concept,Core
Scope Creep,Uncontrolled expansion of project scope,PM,Project,Concept,Core
SMART Objectives,Specific Measurable Achievable Relevant Time-bound goals,PM,Project,Framework,Core
Stage Gate,Go/no-go decision point at key project milestones,PM,Project,Process,Advanced
Stakeholder,Individual or group with interest in project outcome,PM,Stakeholder,Concept,Core
Stakeholder Register,Document identifying stakeholders interests and engagement needs,PM,Stakeholder,Process,Advanced
Steering Committee,Executive oversight body making strategic project decisions,PM,Stakeholder,Concept,Advanced
Technical Debt,Shortcuts in development that create future maintenance burden,SOFTWARE,Architecture,Concept,Core
Triple Constraint,Scope Time Cost (fundamental project constraints),PM,Project,Concept,Core
Vendor Management,Managing relationships with third-party vendors,PM,Project,Practice,Advanced
WBS (Work Breakdown Structure),Hierarchical decomposition of project work,PM,Project,Framework,Core
AC (Actual Cost),Actual cost incurred for work performed as of data date,PM,Project,Metric,Core
Activity,Discrete unit of work in project schedule; building block of WBS,PM,Project,Concept,Core
Adaptive Approach,Iterative flexible methodology responding to change (agile),PM,Project,Concept,Core
BAC (Budget at Completion),Total budget allocated to complete the entire project,PM,Project,Metric,Core
Cost Baseline,Approved time-phased budget used for cost control and comparison,PM,Project,Concept,Core
CPI (Cost Performance Index),EV/AC; cost efficiency; greater than 1 is under budget,PM,Project,Metric,Core
Deliverable,Tangible or intangible output produced to complete project work,PM,Project,Concept,Core
EV (Earned Value),Budgeted value of work actually performed as of data date,PM,Project,Metric,Core
Hybrid Approach,Combining predictive and adaptive methods for project delivery,PM,Project,Concept,Core
Lessons Learned,Knowledge captured from project for future use and continuous improvement,PM,Project,Process,Core
Outcome,Result or benefit realized from deliverables; PMBOK 7 emphasis,PM,Project,Concept,Core
Performance Domains,Eight integrated domains for effective project delivery (PMBOK 7),PM,Project,Concept,Core
Predictive Approach,Plan-driven methodology with sequential phases (waterfall),PM,Project,Concept,Core
Project Manager,Role accountable for project delivery team leadership and stakeholder engagement,PM,Project,Role,Core
PV (Planned Value),Authorized budget for work scheduled as of data date,PM,Project,Metric,Core
Risk Response,Strategy and actions to address identified project risks,PM,Project,Process,Core
Schedule Baseline,Approved project schedule used for schedule control and comparison,PM,Project,Concept,Core
Scope Baseline,Approved scope statement WBS and WBS dictionary,PM,Project,Concept,Core
